,Symbol,Entry_Date,Entry_Price,Exit_Date,Exit_Price,PnL_Pct,Portfolio
71,MSFT,2024-08-28,408.2103271484375,2024-09-05,406.01324462890625,-0.538223159340191,225079.69791055552
72,MSFT,2024-09-06,399.3621520996094,2024-09-12,424.514892578125,6.298228399030162,239255.7313648094
73,MSFT,2024-10-03,414.11578369140625,2024-10-09,415.0303955078125,0.22085896080884637,239784.14908677735
74,MSFT,2024-10-10,413.4198303222656,2024-10-25,425.6581726074219,2.960269776032833,246882.40677991073
75,MSFT,2024-10-30,430.0126953125,2024-11-11,415.57720947265625,-3.3569906184637537,238594.58754567162
76,MSFT,2024-11-18,413.34033203125,2024-11-21,411.2887268066406,-0.4963476984032292,237410.32880187398
77,MSFT,2024-12-03,429.5485534667969,2024-12-06,441.87115478515625,2.8687330498278314,244220.99736791823
78,MSFT,2024-12-27,428.881103515625,2025-01-02,416.97686767578125,-2.7756494147824013,237442.27868369987
79,MSFT,2025-01-03,421.7286071777344,2025-02-06,414.2274475097656,-1.7786698697457441,233218.96441471518
80,MSFT,2025-02-07,408.1806945800781,2025-02-25,397.17083740234375,-2.6972998291996455,226928.34968589587
81,MSFT,2025-02-26,398.99749755859375,2025-03-10,379.46337890625,-4.895799791194209,215818.3920158133
82,MSFT,2025-03-11,379.7528381347656,2025-04-04,359.18060302734375,-5.417269613695753,204126.92784437386
83,MSFT,2025-04-07,357.2042236328125,2025-04-09,389.7744140625,9.11808659439816,222739.39788770853
84,MSFT,2025-05-01,424.6204528808594,2025-05-02,434.48236083984375,2.3225230654990243,227912.57177960422
