Price,Close,High,Low,Open,Volume,RSI,MA_Short,MA_Long,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Volume_MA,RSI_Buy_Signal,MA_Crossover,Buy_Signal,Sell_Signal
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,
2023-03-10,1064.5394287109375,1074.301650291414,1061.0332385815332,1073.1559133813457,13334091,35.8297358412992,1083.351171875,1083.8469278971354,1085.7166344318348,1091.8349624761227,-6.118328044287864,-6.619279194490588,0.5009511502027237,1090.1744140625,1127.6673936714403,1052.6814344535599,13737365.75,1,0,1,1
2023-03-13,1047.0316162109375,1074.301633233475,1042.6775493176322,1067.4268481947054,12771592,34.78921505640601,1078.804638671875,1083.0395222981772,1079.7650931670814,1088.516196086109,-8.751102919027517,-7.045643939397974,-1.705458979629543,1088.979345703125,1130.3752298224106,1047.5834615838396,13836423.1,1,0,1,0
2023-03-14,1043.113037109375,1056.404240108183,1039.9506528647596,1044.9691769993278,16027522,30.98476624170982,1074.5926879882813,1081.7592814127604,1074.1263153120497,1085.1529991248694,-11.026683812819783,-7.841851914082336,-3.184831898737447,1087.8931274414062,1132.9357475792508,1042.8505073035617,14120174.55,1,0,1,0
2023-03-15,1025.2843017578125,1053.356370602993,1020.8614979831054,1046.8483038913362,21728555,32.24880944127733,1070.6740478515626,1079.9748901367188,1066.6121593806286,1080.7182808013838,-14.106121420755244,-9.094705815416917,-5.0114156053383265,1084.660821533203,1137.662782172874,1031.6588608935322,14490506.3,1,0,1,0
2023-03-16,1020.1740112304688,1033.052792054034,1009.3118776418073,1028.0113558105286,18363159,32.26899724686041,1065.2658630371093,1078.2332702636718,1059.4678288959885,1076.2335200924272,-16.765691196438638,-10.628902891621262,-6.136788304817376,1079.938980102539,1138.265405596209,1021.6125546088692,13733484.7,1,0,1,0
2023-03-17,1018.890869140625,1032.1133355509144,1014.12431971775,1028.8134773342822,34014213,29.191550744192952,1060.5474792480468,1076.6467224121093,1053.2252197028556,1071.9859163182196,-18.76069661536394,-12.255261636369799,-6.505434978994142,1075.1965240478517,1137.2557696868696,1013.1372784088336,14570971.0,1,0,1,0
2023-03-20,1008.87646484375,1017.4699762133376,999.1371559991895,1015.1783812633921,19524589,28.7446148701962,1052.1075134277344,1074.6950419108073,1046.4023343399163,1067.3111421349256,-20.908807795009352,-13.98597086809771,-6.922836926911643,1069.7207489013672,1134.9760918633963,1004.4654059393381,14956724.45,1,0,1,0
2023-03-21,1040.2484130859375,1042.2192355857244,1016.0949571461871,1016.9886585344154,21400360,43.633284584597234,1045.7368591308593,1074.0572123209636,1045.4555772239196,1065.3064955387042,-19.85091831478462,-15.158960357435092,-4.69195795734953,1066.4047943115233,1130.5062895472417,1002.303299075805,15584895.6,0,0,0,0
2023-03-22,1043.4110107421875,1050.217059794653,1040.386100052203,1047.2608860540602,10920094,41.60014201381709,1039.2860168457032,1073.6095886230469,1045.1410285344223,1063.6846077759992,-18.543579241576936,-15.83588413426346,-2.7076951073134747,1062.7955291748046,1123.260622476533,1002.3304358730763,15465320.7,0,0,0,0
2023-03-23,1030.2113037109375,1040.3401220744431,1028.0342702801966,1039.4693329479808,16249370,40.49331118288937,1034.178045654297,1072.0184549967448,1042.8441477923477,1061.20510377118,-18.36095597883218,-16.340898503177208,-2.0200574756549727,1059.791244506836,1120.473362133358,999.1091268803137,15726572.45,0,0,0,0
